9956,9.64,48414
-2.49,-0.94,9.35,22202
-2.50,-0.91,9.59,22227
-2.41,-0.71,9.39,22252
-2.41,-0.67,9.45,22278
-2.47,-0.98,9.36,22302
-2.47,-0.92,9.48,22327
-2.35,-0.67,9.32,22352
-2.33,-0.67,9.50,22377
-2.30,-0.96,9.40,22402
-2.44,-0.95,9.52,22427
-2.35,-0.65,9.31,22452
-2.40,-0.69,9.46,22477
-2.48,-0.90,9.56,22502
-2.39,-0.88,9.47,22526
-2.59,-0.72,9.18,22552
-2.41,-0.74,9.46,22577
-2.48,-0.92,9.34,22601
-2.46,-0.88,9.48,22627
-2.35,-0.82,9.38,22651
-2.25,-0.98,9.49,22677
-2.06,-0.61,9.56,22702
-2.02,-0.91,9.90,22726
-2.11,-0.88,9.55,22752
-2.03,-0.83,9.66,22776
-2.17,-1.13,9.48,22801
-2.14,-0.90,9.65,22827
-2.11,-0.91,9.42,22851
-2.03,-0.75,9.41,22877
-2.20,-0.90,9.53,22901
